TrackID,CourseID,Required
"Vision, Graphics, Interaction, and Robotics",WCOMS4170,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4172,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4731,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4733,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4735,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4737,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4771 OR WCOMS4721,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4772,0
"Vision, Graphics, Interaction, and Robotics",WCOMS4995,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6161,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6174,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6176,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6731,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6732,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6733,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6734,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6735,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6737,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6901,0
"Vision, Graphics, Interaction, and Robotics",ECOMS6998,0
Machine Learning ,WCOMS4252,1
Machine Learning ,WCOMS4771 OR WCOMS4721,1
Machine Learning ,WCOMS4772,1
Machine Learning ,GCOMS6509,1
Machine Learning ,WCOMS4731,1
Machine Learning ,WCOMS4705,1
Machine Learning ,WCOMS4733,1
Machine Learning ,WCOMS4701,1
Machine Learning ,WCOMS4111,1
Machine Learning ,WCOMS4252,1
Machine Learning ,WCSOR4246,1
Machine Learning ,WCOMS4705,1
Machine Learning ,WCOMS4731,1
Machine Learning ,WCOMS4733,1
Machine Learning ,WCOMS4737,1
Machine Learning ,WCOMS4761,1
Machine Learning ,WCOMS4771 OR WCOMS4721,1
Machine Learning ,WCOMS4772,1
Machine Learning ,WCOMS4995,1
Machine Learning ,ECOMS6111,1
Machine Learning ,ECOMS6232,1
Machine Learning ,ECOMS6253,1
Machine Learning ,ECOMS6717,1
Machine Learning ,ECOMS6735,1
Machine Learning ,ECOMS6737,1
Machine Learning ,ECOMS6901,1
Machine Learning ,ECOMS6998,1
Machine Learning ,ECSEE6892,1
Machine Learning ,ECSEE6898,1
Machine Learning ,EEECS6720,1
Machine Learning ,EEECS6870,1
Machine Learning ,EEECS6893,1
Machine Learning ,EEECS6895,1
Machine Learning ,EEECS6894,1
